img_id;location;lat;lon;alt;loc_precision;_index;_parent_index;type_ad;public_transport;marketing_str;marketing_str_desc;prem_offer;prem_offer_desc;nr_food;Naam voedingsmiddel;brand;who_cat;UPF;Gezond leven voedingscategorie;Gezond leven voorkeursindeling;comments
1656941912257.jpg;50.9308779 4.4226866 65.6 2.28;509.308.779;44.226.866;65.6;2.28;9;1;4;N;;;;;3;Fruit;Boucherie;15;1;3;A;
1656941884919.jpg;50.9308717 4.4226568 68.0 2.533;509.308.717;44.226.568;68;2.533;10;1;4;N;11;Schaap;;;;Vlees;Boucherie;13;1;12;D;
1656941943598.jpg;50.9309689 4.4226841 73.19999999999999 1.783;509.309.689;44.226.841;7.319.999.999.999.990;1.783;11;1;1;N;;;1, 2;Stem op favoriete terras via app, win 100.000 euro;;;Lipton;4d;4;1;E;
1656941971008.jpg;50.9309752 4.4227737 72.19999999999999 1.62;509.309.752;44.227.737;7.219.999.999.999.990;1.62;12;1;9;N;1;Jupiler stier;;;1;;Jupiler;A;5;A;;
1656941971008.jpg;50.9309752 4.4227737 72.19999999999999 1.62;509.309.752;44.227.737;7.219.999.999.999.990;1.62;12;1;9;N;;;;;2;;Stella artois;A;5;A;;
1656941971008.jpg;50.9309752 4.4227737 72.19999999999999 1.62;509.309.752;44.227.737;7.219.999.999.999.990;1.62;12;1;9;N;;;;;3;;Leffe;A;5;A;;
1656942003531.jpg;50.9309883 4.4229331 73.69999999999999 1.516;509.309.883;44.229.331;7.369.999.999.999.990;1.516;13;1;9;N;;;;;1;;Jupiler;A;5;A;;
1656942003531.jpg;50.9309883 4.4229331 73.69999999999999 1.516;509.309.883;44.229.331;7.369.999.999.999.990;1.516;13;1;9;N;;;;;2;;Maes;A;5;A;;
1656942026804.jpg;50.9309834 4.4227833 73.4 1.683;509.309.834;44.227.833;73.4;1.683;14;1;4;N;11;Fresh & tasty sandwich;;;1;Belegde broodjes;;9;4;ND;;
1656942026804.jpg;50.9309834 4.4227833 73.4 1.683;509.309.834;44.227.833;73.4;1.683;14;1;4;N;;;;;2;;Coca-cola;4d;4;1;E;
1656942026804.jpg;50.9309834 4.4227833 73.4 1.683;509.309.834;44.227.833;73.4;1.683;14;1;4;N;;;;;3;;Ola;5;4;13;E;
1656942300773.jpg;50.9312581 4.4232428 69.9 1.6;509.312.581;44.232.428;69.9;1.6;15;1;9;N;;;;;;XTRA;Cristal;A;5;A;;
1656942337804.jpg;50.9313237 4.4235528 75.9 1.56;509.313.237;44.235.528;75.9;1.56;16;1;6;N;11;Hier echte belgische friet;;;;Friet;;16;4;4;E;
1656942384283.jpg;50.931282 4.4232504 72.69999999999999 1.56;50.931.282;44.232.504;7.269.999.999.999.990;1.56;17;1;9;N;;;;;;;Maes;A;5;A;;
1656942399739.jpg;50.9313024 4.4232264 69.1 2.033;509.313.024;44.232.264;69.1;2.033;18;1;1;N;;;1, 2;Stem op favoriete terras via app, win 100.000 euro;;;Lipton;4d;4;1;E;
1656942411398.jpg;50.9313033 4.42323 69.1 2.26;509.313.033;442.323;69.1;2.26;19;1;1;N;;;1, 2;Stem op favoriete terras via app, win 100.000 euro;;;Lipton;4d;4;1;E;
1656942492280.jpg;50.9315964 4.4236547 71.9 1.9;509.315.964;44.236.547;71.9;1.9;20;1;9;N;;;;;1;;Stella artois;A;5;A;;
1656942492280.jpg;50.9315964 4.4236547 71.9 1.9;509.315.964;44.236.547;71.9;1.9;20;1;9;N;;;;;2;;Blanche de Bruges;A;5;A;;
1657015337621.jpg;50.9218288 4.4290396 58.699999999999996 4.85;509.218.288;44.290.396;58.699.999.999.999.900;4.85;21;2;1;Y;1;tekeningen, CO2 neutraal;;;;Innocent sinaasappelsap ;Innocent;4a;1;3;C;
1657015355505.jpg;50.9218181 4.4290159 58.4 3.9;509.218.181;44.290.159;58.4;3.9;22;2;1;Y;1;tekeningen, CO2 neutraal;;;;Innocent sinaasappelsap ;Innocent;4a;1;3;C;
1657017624596.jpg;50.9308565 4.4235135 67.19999999999999 2.033;509.308.565;44.235.135;6.719.999.999.999.990;2.033;23;2;9;N;;;;;1;;Kasteel ;A;5;A;;
1657017624596.jpg;50.9308565 4.4235135 67.19999999999999 2.033;509.308.565;44.235.135;6.719.999.999.999.990;2.033;23;2;9;N;;;;;2;;Stella artois;A;5;A;;
1657017624596.jpg;50.9308565 4.4235135 67.19999999999999 2.033;509.308.565;44.235.135;6.719.999.999.999.990;2.033;23;2;9;N;;;;;3;;Leffe;A;5;A;;
1657017651374.jpg;50.93092 4.4233826 61.9 2.116;5.093.092;44.233.826;61.9;2.116;24;2;6;N;;;;;;Schotels, kebab;Snack resto Yasmine;14;4;12;D;
1657017798292.jpg;50.9309153 4.4251666 71.8 1.52;509.309.153;44.251.666;71.8;1.52;25;2;7;N;;;;;;;Vezir;NA;;NA;;
1657018111263.jpg;50.9298583 4.427525 60.699999999999996 1.566;509.298.583;4.427.525;60.699.999.999.999.900;1.566;26;2;4;N;;;;;1;Zeewiersalade;Bio punt;16;4;ND;;
1657018111263.jpg;50.9298583 4.427525 60.699999999999996 1.566;509.298.583;4.427.525;60.699.999.999.999.900;1.566;26;2;4;N;;;;;2;Kaas;Bio punt;8;3;9;C;
1657018111263.jpg;50.9298583 4.427525 60.699999999999996 1.566;509.298.583;4.427.525;60.699.999.999.999.900;1.566;26;2;4;N;;;;;3;Vruchtensap;Bio punt;4a;4;3;C;
1657018157539.jpg;50.9297204 4.4274135 66.8 1.833;509.297.204;44.274.135;66.8;1.833;27;2;6;N;;;;;;Pizza;;9;4;13;E;
1657018221155.jpg;50.930083 4.4271115 58.5 1.64;50.930.083;44.271.115;58.5;1.64;28;2;9;N;1;Jupiler stier;;;1;;Jupiler;A;5;A;;
1657018221155.jpg;50.930083 4.4271115 58.5 1.64;50.930.083;44.271.115;58.5;1.64;28;2;7;N;;;;;2;;Tï¿½ï¿½ï¿½ï¿½;NA;;NA;;
1657018243150.jpg;50.9300977 4.4269557 55.599999999999994 1.58;509.300.977;44.269.557;55.599.999.999.999.900;1.58;29;2;9;N;;;;;1;;Leffe;A;5;A;;
1657018243150.jpg;50.9300977 4.4269557 55.599999999999994 1.58;509.300.977;44.269.557;55.599.999.999.999.900;1.58;29;2;6;N;;;;;2;;Tï¿½ï¿½ï¿½ï¿½;NA;;NA;;
1657018264072.jpg;50.9301223 4.4269133 59.099999999999994 1.733;509.301.223;44.269.133;59.099.999.999.999.900;1.733;30;2;9;N;;;;;1;;Stella artois;A;5;A;;
1657018264072.jpg;50.9301223 4.4269133 59.099999999999994 1.733;509.301.223;44.269.133;59.099.999.999.999.900;1.733;30;2;9;N;;;;;2;;Maes;A;5;A;;
1657018302080.jpg;50.9302098 4.4264627 58.4 1.616;509.302.098;44.264.627;58.4;1.616;31;2;9;N;;;;;1;;Jupiler;A;5;A;;
1657018302080.jpg;50.9302098 4.4264627 58.4 1.616;509.302.098;44.264.627;58.4;1.616;31;2;6;N;;;;;2;Doner - kebab resto;Gold Snack;14;4;12;D;
1657018302080.jpg;50.9302098 4.4264627 58.4 1.616;509.302.098;44.264.627;58.4;1.616;31;2;9;N;;;;;3;;Kasteel ;A;5;A;;
1657018323026.jpg;50.9302437 4.4263893 59.199999999999996 1.666;509.302.437;44.263.893;59.199.999.999.999.900;1.666;32;2;6;N;;;;;;Durum, doner, kebab;Gold Snack;14;4;12;D;
1657018341841.jpg;50.9302304 4.4263047 56.9 1.75;509.302.304;44.263.047;56.9;1.75;33;2;6;N;;;;;;;Gold Snack;9;4;13;E;
1657018376392.jpg;50.9303275 4.4259194 59.099999999999994 1.566;509.303.275;44.259.194;59.099.999.999.999.900;1.566;34;2;6;N;;;;;1;Ijs;Roosevelt;5;4;13;E;
1657018376392.jpg;50.9303275 4.4259194 59.099999999999994 1.566;509.303.275;44.259.194;59.099.999.999.999.900;1.566;34;2;1;N;;;1, 2;Stem op favoriete terras via app, win 100.000 euro;2;;Lipton;4d;4;1;E;
1657018390134.jpg;50.9303563 4.4258467 58.0 1.666;509.303.563;44.258.467;58;1.666;35;2;9;N;1;Jupiler stier;;;1;;Jupiler;A;5;A;;
1657018390134.jpg;50.9303563 4.4258467 58.0 1.666;509.303.563;44.258.467;58;1.666;35;2;7;N;;;;;2;;Roosevelt;NA;;NA;;
1657018427215.jpg;50.9302931 4.4258179 63.5 1.666;509.302.931;44.258.179;63.5;1.666;36;2;6;N;;;;;1;Ijs;Roosevelt;5;4;13;E;
1657018427215.jpg;50.9302931 4.4258179 63.5 1.666;509.302.931;44.258.179;63.5;1.666;36;2;1;N;;;1, 2;Stem op favoriete terras via app, win 100.000 euro;2;;Lipton;4d;4;1;E;
1657018491338.jpg;50.9300314 4.4255212 64.69999999999999 1.52;509.300.314;44.255.212;6.469.999.999.999.990;1.52;37;2;9;N;;;;;1;;Maes;A;5;A;;
1657018491338.jpg;50.9300314 4.4255212 64.69999999999999 1.52;509.300.314;44.255.212;6.469.999.999.999.990;1.52;37;2;9;N;;;;;2;;Ciney;A;5;A;;
1657018491338.jpg;50.9300314 4.4255212 64.69999999999999 1.52;509.300.314;44.255.212;6.469.999.999.999.990;1.52;37;2;9;N;;;;;3;XTRA;Cristal;A;5;A;;
1657018491338.jpg;50.9300314 4.4255212 64.69999999999999 1.52;509.300.314;44.255.212;6.469.999.999.999.990;1.52;37;2;9;N;1;Palm paard;;;4;Speciale palm;Palm;A;5;A;;
1657018524861.jpg;50.9300415 4.4253884 66.8 1.766;509.300.415;44.253.884;66.8;1.766;38;2;9;N;1;Palm paard;;;;Speciale palm;Palm;A;5;A;;
1657018584746.jpg;50.9299133 4.4252669 63.099999999999994 1.8;509.299.133;44.252.669;63.099.999.999.999.900;1.8;39;2;9;N;;;;;1;;Duvel;A;5;A;;
1657018584746.jpg;50.9299133 4.4252669 63.099999999999994 1.8;509.299.133;44.252.669;63.099.999.999.999.900;1.8;39;2;9;N;;;;;2;;Omer;A;5;A;;
1657018662121.jpg;50.9293417 4.42467 57.8 1.7;509.293.417;442.467;57.8;1.7;40;2;9;N;;;;;1;;Jupiler;A;5;A;;
1657018662121.jpg;50.9293417 4.42467 57.8 1.7;509.293.417;442.467;57.8;1.7;40;2;9;N;;;;;2;;De Koninck;A;5;A;;
1657018662121.jpg;50.9293417 4.42467 57.8 1.7;509.293.417;442.467;57.8;1.7;40;2;9;N;;;;;3;;Stella Artois;A;5;A;;
1657018662121.jpg;50.9293417 4.42467 57.8 1.7;509.293.417;442.467;57.8;1.7;40;2;9;N;;;;;4;;Duvel;A;5;A;;
1657018683158.jpg;50.929272 4.4245952 62.9 1.72;50.929.272;44.245.952;62.9;1.72;41;2;9;N;;;;;1;Lindemans framboise;Lindemans;A;5;A;;
1657018683158.jpg;50.929272 4.4245952 62.9 1.72;50.929.272;44.245.952;62.9;1.72;41;2;9;N;;;;;2;Jupiler, stella, leffe blond, karmeliet;;A;5;A;;
1657018683158.jpg;50.929272 4.4245952 62.9 1.72;50.929.272;44.245.952;62.9;1.72;41;2;9;N;;;;;3;;Duvel;A;5;A;;
1657018699214.jpg;50.9292368 4.4245496 62.4 1.683;509.292.368;44.245.496;62.4;1.683;42;2;9;N;;;;;1;;Duvel;A;5;A;;
1657018699214.jpg;50.9292368 4.4245496 62.4 1.683;509.292.368;44.245.496;62.4;1.683;42;2;6;N;;;;;2;;ýt gulden schaap;9;4;ND;;
1657018940806.jpg;50.9303717 4.4237817 70.19999999999999 1.48;509.303.717;44.237.817;7.019.999.999.999.990;1.48;43;2;9;N;;;;;1;;Maes;A;5;A;;
1657018940806.jpg;50.9303717 4.4237817 70.19999999999999 1.48;509.303.717;44.237.817;7.019.999.999.999.990;1.48;43;2;9;N;;;;;2;;Stella artois;A;5;A;;
1657018940806.jpg;50.9303717 4.4237817 70.19999999999999 1.48;509.303.717;44.237.817;7.019.999.999.999.990;1.48;43;2;9;N;1;Jupiler stier;;;3;;Jupiler;A;5;A;;
1657019098502.jpg;50.9307436 4.4224623 68.9 1.62;509.307.436;44.224.623;68.9;1.62;44;2;4;N;;;;;1;Vlees;Kasap Mehmet slagerij traiteur;13;1;12;D;
1657019098502.jpg;50.9307436 4.4224623 68.9 1.62;509.307.436;44.224.623;68.9;1.62;44;2;4;N;;;;;2;Groenten & fruit;Kasap Mehmet slagerij traiteur;15;1;2;A;
1657019098502.jpg;50.9307436 4.4224623 68.9 1.62;509.307.436;44.224.623;68.9;1.62;44;2;4;N;;;;;3;Fruit;Kasap Mehmet slagerij traiteur;15;1;3;A;
1657019131696.jpg;50.9307167 4.4224383 67.4 1.96;509.307.167;44.224.383;67.4;1.96;45;2;6;N;;;;;1;Belegde broodjes, vis;Al Barak;9;4;ND;;
1657019131696.jpg;50.9307167 4.4224383 67.4 1.96;509.307.167;44.224.383;67.4;1.96;45;2;6;N;;;;;2;Vis;Al Barak;14;3;11;B;
1657019152176.jpg;50.93071 4.42242 67.19999999999999 1.5;5.093.071;442.242;6.719.999.999.999.990;1.5;46;2;6;N;;;;;1;Broodjes ;El Baraka;9;4;ND;;
1657019152176.jpg;50.93071 4.42242 67.19999999999999 1.5;5.093.071;442.242;6.719.999.999.999.990;1.5;46;2;6;N;;;;;2;Gegrilde en gefrituurde vis;El Baraka;14;4;11;E;
1657019248139.jpg;50.9298777 4.4218669 67.69999999999999 2.366;509.298.777;44.218.669;6.769.999.999.999.990;2.366;47;2;6;N;;;;;1;Donuts;Be nuts Be donuts;2;4;13;E;
1657019248139.jpg;50.9298777 4.4218669 67.69999999999999 2.366;509.298.777;44.218.669;6.769.999.999.999.990;2.366;47;2;7;N;;;;;2;;Takeaway.com;NA;;NA;;
1657019248139.jpg;50.9298777 4.4218669 67.69999999999999 2.366;509.298.777;44.218.669;6.769.999.999.999.990;2.366;47;2;7;N;;;;;3;;Deliveroo;NA;;NA;;
1657019248139.jpg;50.9298777 4.4218669 67.69999999999999 2.366;509.298.777;44.218.669;6.769.999.999.999.990;2.366;47;2;7;N;;;;;4;;Ubereats;NA;;NA;;
1657019368146.jpg;50.929384 4.4219208 69.69999999999999 1.82;50.929.384;44.219.208;6.969.999.999.999.990;1.82;48;2;9;N;1;Jupiler stier;;;;;Jupiler;A;5;A;;
1657019397621.jpg;50.9293367 4.421885 70.5 1.7;509.293.367;4.421.885;70.5;1.7;49;2;9;N;1;Jupiler stier;;;;;Jupiler;A;5;A;;
1657019467515.jpg;50.9289695 4.4223625 68.69999999999999 1.54;509.289.695;44.223.625;6.869.999.999.999.990;1.54;50;2;9;N;;;;;1;;Grimbergen;A;5;A;;
1657019467515.jpg;50.9289695 4.4223625 68.69999999999999 1.54;509.289.695;44.223.625;6.869.999.999.999.990;1.54;50;2;9;N;;;;;2;;Hapkin;A;5;A;;
1657019489023.jpg;50.9289567 4.4223183 65.1 1.54;509.289.567;44.223.183;65.1;1.54;51;2;9;N;;;;;;;Grimbergen;A;5;A;;
1657019544492.jpg;50.9289091 4.4222755 62.3 1.8;509.289.091;44.222.755;62.3;1.8;52;2;9;N;1;Kabouter;;;1;;La Chouffe;A;5;A;;
1657019544492.jpg;50.9289091 4.4222755 62.3 1.8;509.289.091;44.222.755;62.3;1.8;52;2;6;N;;;;;2;Mosselen;;13;1;11;B;
1657019556504.jpg;50.9288763 4.4222891 63.099999999999994 1.633;509.288.763;44.222.891;63.099.999.999.999.900;1.633;53;2;9;N;1;Kabouter;;;1;;La Chouffe;A;5;A;;
1657019556504.jpg;50.9288763 4.4222891 63.099999999999994 1.633;509.288.763;44.222.891;63.099.999.999.999.900;1.633;53;2;6;N;;;;;2;Mosselen;;13;1;11;B;
1657019585814.jpg;50.9288113 4.4221101 71.8 1.816;509.288.113;44.221.101;71.8;1.816;54;2;9;N;;;;;;;Hapkin;A;5;A;;
1657019608706.jpg;50.9288309 4.422154 71.1 1.7;509.288.309;4.422.154;71.1;1.7;55;2;6;N;;;;;1;Kebab, schotel, grill, pita;Snack pizzeria Izmir;14;4;12;D;
1657019608706.jpg;50.9288309 4.422154 71.1 1.7;509.288.309;4.422.154;71.1;1.7;55;2;6;N;;;;;2;Pizza, pastaï¿½ï¿½ï¿½;Snack pizzeria Izmir;9;4;13;E;
1657019629822.jpg;50.9287352 4.4222666 67.6 1.616;509.287.352;44.222.666;67.6;1.616;56;2;6;N;;;;;;Sushi;Wakame sushi;13;3;11;B;
1657019674474.jpg;50.9288159 4.4221039 66.69999999999999 2.366;509.288.159;44.221.039;6.669.999.999.999.990;2.366;57;2;9;N;;;;;1;;Maes;A;5;A;;
1657019674474.jpg;50.9288159 4.4221039 66.69999999999999 2.366;509.288.159;44.221.039;6.669.999.999.999.990;2.366;57;2;9;N;;;;;2;XTRA;Cristal;A;5;A;;
1657019705815.jpg;50.9287193 4.4218656 63.4 1.883;509.287.193;44.218.656;63.4;1.883;58;2;9;N;;;;;1;;Carlsberg;A;5;A;;
1657019705815.jpg;50.9287193 4.4218656 63.4 1.883;509.287.193;44.218.656;63.4;1.883;58;2;9;N;;;;;2;;Duvel;A;5;A;;
1657019705815.jpg;50.9287193 4.4218656 63.4 1.883;509.287.193;44.218.656;63.4;1.883;58;2;9;N;;;;;3;;Mort subite;A;5;A;;
1657019705815.jpg;50.9287193 4.4218656 63.4 1.883;509.287.193;44.218.656;63.4;1.883;58;2;9;N;;;;;4;;Westmalle;A;5;A;;
1657019705815.jpg;50.9287193 4.4218656 63.4 1.883;509.287.193;44.218.656;63.4;1.883;58;2;9;N;;;;;5;;William Lawsonï¿½;A;5;A;;
1657019705815.jpg;50.9287193 4.4218656 63.4 1.883;509.287.193;44.218.656;63.4;1.883;58;2;9;N;;;;;6;;Bombay Sapphire;A;5;A;;
1657019705815.jpg;50.9287193 4.4218656 63.4 1.883;509.287.193;44.218.656;63.4;1.883;58;2;1;N;;;;;7;;Coca-cola ;4d;4;1;E;
1657019705815.jpg;50.9287193 4.4218656 63.4 1.883;509.287.193;44.218.656;63.4;1.883;58;2;9;N;;;;;8;XTRA;Cristal ;A;5;A;;
1657019705815.jpg;50.9287193 4.4218656 63.4 1.883;509.287.193;44.218.656;63.4;1.883;58;2;9;N;;;;;9;Bacardi mojito;Bacardi;A;5;A;;
1657019724106.jpg;50.9287206 4.421813 61.099999999999994 2.14;509.287.206;4.421.813;61.099.999.999.999.900;2.14;59;2;6;N;;;;;;Friet, burger, wrap;Snack bodrum;9;4;13;E;
1657019752272.jpg;50.9287417 4.4218017 59.4 2.22;509.287.417;44.218.017;59.4;2.22;60;2;4;N;;;;;1;Groenten;Supermarkt grote markt Vilvoorde;15;1;2;A;
1657019752272.jpg;50.9287417 4.4218017 59.4 2.22;509.287.417;44.218.017;59.4;2.22;60;2;4;N;;;;;2;Fruit;Supermarkt grote markt Vilvoorde;15;1;3;A;
1657019769270.jpg;50.9287095 4.421748 57.599999999999994 1.766;509.287.095;4.421.748;57.599.999.999.999.900;1.766;61;2;6;N;11;Coming soon;;;;;Dolce pasta;9;4;ND;;
1657019800452.jpg;50.9287196 4.4213629 72.3 2.3;509.287.196;44.213.629;72.3;2.3;62;2;4;N;;;;;1;Groenten ;Supermarkt grote markt Vilvoorde;15;1;2;A;
1657019800452.jpg;50.9287196 4.4213629 72.3 2.3;509.287.196;44.213.629;72.3;2.3;62;2;4;N;;;;;2;Fruit;Supermarkt grote markt Vilvoorde;15;1;3;A;
1657019832060.jpg;50.9286315 4.4216267 74.5 2.166;509.286.315;44.216.267;74.5;2.166;63;2;6;N;;;;;;Friet, pita, kebab ;Snack Bodrum;9;4;13;E;
1657019869384.jpg;50.9284166 4.4217403 65.69999999999999 1.82;509.284.166;44.217.403;6.569.999.999.999.990;1.82;64;2;6;N;;;;;;Doner kebab;Snack Bodrum;14;4;12;D;
1657019956223.jpg;50.9286142 4.4229636 70.4 1.8;509.286.142;44.229.636;70.4;1.8;65;2;9;N;;;;;;;Cornet;A;5;A;;
1657019973372.jpg;50.9286467 4.4229768 69.8 1.9;509.286.467;44.229.768;69.8;1.9;66;2;9;N;;;;;;;Cornet;A;5;A;;
1657020004775.jpg;50.9284921 4.4231476 60.9 1.533;509.284.921;44.231.476;60.9;1.533;67;2;6;N;;;;;;Ijs;Vice;5;4;13;E;
1657020039654.jpg;50.9284747 4.4234329 61.5 1.98;509.284.747;44.234.329;61.5;1.98;68;2;6;N;;;;;1;Italian food;Capo Nata;9;4;ND;;
1657020039654.jpg;50.9284747 4.4234329 61.5 1.98;509.284.747;44.234.329;61.5;1.98;68;2;9;N;;;;;2;;Maes;A;5;A;;
1657020380193.jpg;50.9282222 4.4199362 59.0 1.85;509.282.222;44.199.362;59;1.85;69;2;9;N;;;;;1;;Jupiler;A;5;A;;
1657020380193.jpg;50.9282222 4.4199362 59.0 1.85;509.282.222;44.199.362;59;1.85;69;2;7;N;;;;;2;;Eetcafe Bagatelle;NA;;NA;;
1657020637509.jpg;50.9288844 4.4226181 63.099999999999994 1.56;509.288.844;44.226.181;63.099.999.999.999.900;1.56;70;2;9;N;;;;;1;;Duvel;A;5;A;;
1657020637509.jpg;50.9288844 4.4226181 63.099999999999994 1.56;509.288.844;44.226.181;63.099.999.999.999.900;1.56;70;2;9;N;;;;;2;;Maes;A;5;A;;
1657020671523.jpg;50.9289617 4.4228736 62.699999999999996 2.1;509.289.617;44.228.736;62.699.999.999.999.900;2.1;71;2;9;N;;;;;1;;Maes;A;5;A;;
1657020671523.jpg;50.9289617 4.4228736 62.699999999999996 2.1;509.289.617;44.228.736;62.699.999.999.999.900;2.1;71;2;7;N;;;;;2;Aperobar, cocktail, tapas;Aperobar Vilvoorde;NA;;NA;;
1657020689624.jpg;50.9289385 4.4229966 60.4 1.916;509.289.385;44.229.966;60.4;1.916;72;2;9;N;;;;;;;Primus;A;5;A;;
1657020717663.jpg;50.928841 4.4230746 67.4 2.02;50.928.841;44.230.746;67.4;2.02;73;2;9;N;;;;;1;;Cornet;A;5;A;;
1657020717663.jpg;50.928841 4.4230746 67.4 2.02;50.928.841;44.230.746;67.4;2.02;73;2;9;N;;;;;2;;Estaminet;A;5;A;;
1657020717663.jpg;50.928841 4.4230746 67.4 2.02;50.928.841;44.230.746;67.4;2.02;73;2;6;N;;;;;3;Artisinaal ijs;Vice;5;4;13;E;
1657020786888.jpg;50.9287574 4.4237032 66.4 1.616;509.287.574;44.237.032;66.4;1.616;74;2;9;N;;;;;1;;Cristal;A;5;A;;
1657020786888.jpg;50.9287574 4.4237032 66.4 1.616;509.287.574;44.237.032;66.4;1.616;74;2;9;N;;;;;2;;Hapkin;A;5;A;;
1657020786888.jpg;50.9287574 4.4237032 66.4 1.616;509.287.574;44.237.032;66.4;1.616;74;2;9;N;;;;;3;;Omer;A;5;A;;
1657020786888.jpg;50.9287574 4.4237032 66.4 1.616;509.287.574;44.237.032;66.4;1.616;74;2;9;N;;;;;4;;Victoria;A;5;A;;
1657020786888.jpg;50.9287574 4.4237032 66.4 1.616;509.287.574;44.237.032;66.4;1.616;74;2;9;N;;;;;5;;Stella artois;A;5;A;;
1657020863662.jpg;50.9288018 4.4242988 76.4 1.9;509.288.018;44.242.988;76.4;1.9;75;2;9;N;;;;;;;Stella artois;A;5;A;;
1657020905336.jpg;50.9286916 4.4246186 71.5 1.92;509.286.916;44.246.186;71.5;1.92;76;2;6;N;4;Sofie Dumont;;;;Chickï¿½ï¿½ï¿½ï¿½ï¿½ï;Panos;9;4;ND;;
1657020958812.jpg;50.928499 4.4251389 73.19999999999999 1.8;50.928.499;44.251.389;7.319.999.999.999.990;1.8;77;2;7;N;;;;;;Koffie;Perron X;NA;;NA;;
1657020990972.jpg;50.9284988 4.4252099 78.6 2.14;509.284.988;44.252.099;78.6;2.14;78;2;7;N;;;;;;Koffie;Perron X;NA;;NA;;
1657021069098.jpg;50.9284367 4.42543 75.5 2.1;509.284.367;442.543;75.5;2.1;79;2;6;N;;;;;1;Burger, wings, escalope;Handmade burger;14;4;12;D;
1657021069098.jpg;50.9284367 4.42543 75.5 2.1;509.284.367;442.543;75.5;2.1;79;2;7;N;;;;;2;;Takeaway.com;NA;;NA;;
1657021069098.jpg;50.9284367 4.42543 75.5 2.1;509.284.367;442.543;75.5;2.1;79;2;7;N;;;;;3;;Deliveroo;NA;;NA;;
1657021083080.jpg;50.9284205 4.425443 71.4 2.4;509.284.205;4.425.443;71.4;2.4;80;2;6;N;;;;;;Burger, wings, escalope;Handmade burger;14;4;12;D;
1657021095880.jpg;50.9284262 4.4254458 72.4 1.8;509.284.262;44.254.458;72.4;1.8;81;2;6;N;;;;;;Burger, wings, escalope;Handmade burger;14;4;12;D;
1657021110580.jpg;50.9284145 4.4254885 70.8 1.716;509.284.145;44.254.885;70.8;1.716;82;2;6;N;;;;;1;Ontbijtgerechten;AMS family;NA;;NA;;
1657021110580.jpg;50.9284145 4.4254885 70.8 1.716;509.284.145;44.254.885;70.8;1.716;82;2;6;N;;;;;2;Thee;AMS family;4e;1;1;F;
1657021110580.jpg;50.9284145 4.4254885 70.8 1.716;509.284.145;44.254.885;70.8;1.716;82;2;6;N;;;;;3;Milkshake;AMS family;4b;4;10;E;
